MP,G|R,AverageProfit,Occurences,Pattern,Type
0.013555,1.047619,0.012939,43,6|2|2|0|0|4,one white soldier
0.013551,1.850000,0.007325,57,2|5|5|1|2|2,bullish harami
0.013547,1.285714,0.010536,32,7|5|6|1|2|3,bullish harami
0.013513,1.666667,0.008108,32,0|6|7|6|6|7,one white soldier
0.013483,1.277778,0.010552,41,3|5|5|4|4|6,bullish engulfing
0.013477,1.428571,0.009434,34,7|4|4|1|2|10,one white soldier
0.013404,1.461538,0.009171,32,6|5|5|3|3|5,bullish harami
0.013397,1.846154,0.007257,37,3|4|5|4|4|6,one white soldier
0.013343,1.400000,0.009531,48,2|2|2|1|1|9,one white soldier
0.013338,1.142857,0.011671,30,0|9|9|8|7|10,bullish engulfing
0.013338,1.785714,0.007469,78,7|6|5|1|2|4,bullish harami
0.013334,1.176471,0.011334,37,6|5|5|2|1|5,bullish engulfing
0.013331,1.692308,0.007878,35,1|7|7|4|5|6,bullish harami
0.013322,1.050000,0.012688,41,6|2|2|2|1|4,bullish engulfing
0.013316,1.466667,0.009079,37,2|5|5|1|1|2,bullish harami
0.013311,1.263158,0.010538,43,9|3|2|1|1|3,one white soldier
0.013300,2.363636,0.005627,37,4|5|5|0|0|1,bullish harami
0.013275,1.466667,0.009051,37,1|3|3|0|1|1,bullish harami
0.013257,1.750000,0.007575,33,0|6|7|6|6|7,bullish engulfing
0.013257,1.818182,0.007291,31,3|5|5|2|4|7,one white soldier
0.013198,1.545455,0.008540,56,0|3|3|1|2|4,one white soldier
0.013190,1.916667,0.006882,35,6|7|7|4|4|5,bullish harami
0.013174,1.538462,0.008563,33,6|4|4|1|1|6,bullish engulfing
0.013153,1.807692,0.007276,73,6|4|4|0|0|3,bullish harami
0.013153,1.529412,0.008600,43,5|5|5|3|3|7,one white soldier
0.013142,1.307692,0.010050,60,5|4|5|3|3|4,bullish harami
0.013127,1.538462,0.008532,33,10|6|7|3|3|4,bullish harami
0.013105,1.500000,0.008737,40,8|4|4|1|2|6,one white soldier
0.013105,1.312500,0.009984,37,1|4|5|3|4|6,one white soldier
0.013098,2.062500,0.006351,49,5|6|6|1|1|4,bullish harami
0.013090,1.727273,0.007578,30,0|5|4|3|4|7,one white soldier
0.013078,1.142857,0.011444,30,9|3|3|1|1|6,one white soldier
0.013056,1.652174,0.007902,61,6|1|2|0|1|4,one white soldier
0.013038,1.045455,0.012471,45,0|5|6|5|3|7,bullish engulfing
0.013034,1.727273,0.007546,30,8|5|5|2|2|7,one white soldier
0.013005,1.714286,0.007586,38,8|7|5|1|1|2,bullish harami
0.013003,1.066667,0.012190,31,1|6|5|3|4|4,bullish harami
0.012981,1.095238,0.011852,44,8|2|2|1|1|4,bullish engulfing
0.012966,1.523810,0.008509,53,3|5|5|3|4|8,one white soldier
0.012949,1.444444,0.008965,44,1|3|3|1|1|8,one white soldier
0.012923,1.266667,0.010202,34,7|4|4|2|2|2,bullish harami
0.012923,2.333333,0.005538,30,6|8|8|1|1|2,bullish harami
0.012915,1.583333,0.008157,31,0|2|4|1|3|6,one white soldier
0.012886,2.105263,0.006121,59,5|4|2|0|1|3,one white soldier
0.012880,1.714286,0.007513,38,8|5|6|1|2|3,bullish harami
0.012871,1.588235,0.008104,44,2|2|3|1|2|9,one white soldier
0.012870,1.692308,0.007605,35,4|6|6|2|3|5,bullish harami
0.012845,1.400000,0.009175,36,3|5|5|1|2|7,one white soldier
0.012842,1.909091,0.006727,64,6|3|2|1|0|4,bullish engulfing
0.012832,1.411765,0.009089,41,7|5|5|3|3|6,bullish engulfing
0.012803,1.857143,0.006894,60,3|5|5|2|3|4,bullish harami
0.012784,1.642857,0.007782,37,3|3|2|1|0|7,bullish engulfing
0.012769,1.409091,0.009062,53,2|5|5|1|2|3,bullish harami
0.012730,1.428571,0.008911,34,0|5|4|4|4|5,one white soldier
0.012699,1.727273,0.007352,30,3|5|5|2|4|7,one white soldier
0.012696,1.722222,0.007372,49,0|6|7|4|5|6,bullish harami
0.012680,1.190476,0.010651,46,4|4|4|3|1|7,bullish engulfing
0.012680,1.187500,0.010678,35,0|1|3|2|1|4,bullish engulfing
0.012671,2.090909,0.006060,34,5|4|3|1|0|6,bullish engulfing
0.012670,1.818182,0.006969,31,5|2|1|1|0|4,bullish engulfing
0.012661,2.076923,0.006096,40,10|4|4|1|0|6,bullish engulfing
0.012648,1.727273,0.007322,30,6|6|6|2|3|9,one white soldier
0.012646,2.400000,0.005269,34,2|5|5|4|5|8,one white soldier
0.012622,1.769231,0.007134,36,9|6|5|2|1|6,bullish engulfing
0.012621,1.736842,0.007267,52,0|3|2|1|2|7,one white soldier
0.012605,1.384615,0.009104,31,1|6|6|2|3|3,bullish harami
0.012604,1.484848,0.008488,82,8|3|3|1|1|4,bullish engulfing
0.012572,1.437500,0.008746,39,0|3|3|0|2|5,one white soldier
0.012555,1.384615,0.009067,31,0|2|3|2|3|6,one white soldier
0.012539,2.300000,0.005452,33,4|7|7|2|3|3,bullish harami
0.012530,1.666667,0.007518,64,0|3|2|0|1|6,one white soldier
0.012520,1.307692,0.009574,30,2|3|4|1|0|8,bullish engulfing
0.012481,1.625000,0.007680,42,6|3|1|0|0|1,bullish harami
0.012480,1.230769,0.010140,58,4|3|2|1|1|6,bullish engulfing
0.012436,1.500000,0.008291,50,4|1|2|1|1|3,one white soldier
0.012398,1.214286,0.010210,31,3|4|6|4|5|7,one white soldier
0.012389,1.000000,0.012389,52,3|2|3|2|3|6,one white soldier
0.012365,1.562500,0.007914,41,6|4|4|1|0|5,bullish engulfing
0.012354,1.180000,0.010469,109,3|3|4|2|3|7,one white soldier
0.012346,1.666667,0.007407,40,0|4|6|5|5|6,bullish engulfing
0.012337,1.333333,0.009253,35,6|5|4|2|2|6,one white soldier
0.012325,1.615385,0.007630,34,3|2|4|2|1|5,bullish engulfing
0.012305,1.714286,0.007178,38,0|6|6|6|5|6,bullish engulfing
0.012292,1.444444,0.008510,44,4|2|3|1|2|7,one white soldier
0.012278,1.210526,0.010143,42,4|4|5|4|4|5,one white soldier
0.012252,1.425532,0.008595,114,6|4|3|1|0|5,bullish engulfing
0.012231,1.238095,0.009879,141,3|2|2|1|1|7,one white soldier
0.012206,1.357143,0.008994,66,2|3|3|2|1|4,bullish engulfing
0.012204,1.200000,0.010170,55,6|3|4|2|2|5,bullish engulfing
0.012190,1.281250,0.009515,73,6|7|7|1|2|3,bullish harami
0.012189,1.538462,0.007923,33,2|3|3|0|1|4,one white soldier
0.012178,1.466667,0.008303,74,6|4|4|0|0|5,one white soldier
0.012163,1.266667,0.009602,34,8|3|2|1|1|1,bullish harami
0.012154,1.692308,0.007182,35,4|4|4|2|2|6,bullish engulfing
0.012143,1.214286,0.010000,31,2|5|5|0|2|7,one white soldier
0.012125,1.250000,0.009700,36,0|6|6|6|5|7,bullish engulfing
0.012115,1.136364,0.010661,47,0|4|5|4|3|5,bullish engulfing
0.012114,1.727273,0.007013,30,4|2|4|2|2|6,one white soldier
0.012101,1.285714,0.009412,32,2|5|5|5|4|6,bullish engulfing
0.012081,1.296296,0.009319,62,0|1|1|0|1|6,one white soldier
0.012068,1.285714,0.009386,32,6|7|7|2|3|6,bullish harami
0.012048,1.928571,0.006247,41,0|3|2|0|1|7,one white soldier
0.012007,2.000000,0.006004,36,7|4|3|0|1|5,one white soldier
0.011960,1.125000,0.010631,34,8|4|4|2|3|3,bullish harami
0.011951,1.960000,0.006097,74,5|4|3|1|2|3,one white soldier
0.011946,1.296296,0.009216,62,3|3|3|0|1|7,one white soldier
0.011932,1.615385,0.007386,34,6|3|3|0|1|6,one white soldier
0.011916,1.941176,0.006138,50,7|6|5|0|0|3,bullish harami
